cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,mp,8,1.292815589569455,0.16160194869618189,6.192250639200211,6.202999711036682,5.9740025997161865,6.370000600814819,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,th,1,0.21408564060586643,0.21408564060586643,4.671027898788452,4.671027898788452,4.671027898788452,4.671027898788452,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,th,2,0.21626358568220208,0.10813179284110104,4.6239869594573975,4.6239869594573975,4.6239869594573975,4.6239869594573975,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,th,3,0.21663815383541052,0.07221271794513684,4.615992069244385,4.615992069244385,4.615992069244385,4.615992069244385,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,th,4,0.21758048428950882,0.054395121072377206,4.59600043296814,4.59600043296814,4.59600043296814,4.59600043296814,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,th,5,0.2170603373133987,0.04341206746267974,4.607013940811157,4.607013940811157,4.607013940811157,4.607013940811157,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,th,6,0.21829295622705527,0.03638215937117588,4.580999851226807,4.580999851226807,4.580999851226807,4.580999851226807,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,th,7,0.2188182583662963,0.03125975119518518,4.570002555847168,4.570002555847168,4.570002555847168,4.570002555847168,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_collision,th,8,0.21843607460806352,0.02730450932600794,4.577998399734497,4.577998399734497,4.577998399734497,4.577998399734497,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,mp,1,0.21514637664670713,0.21514637664670713,4.647998332977295,4.647998332977295,4.647998332977295,4.647998332977295,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,mp,2,0.43306291513961404,0.21653145756980702,4.618481278419495,4.618481278419495,4.586993932723999,4.64996862411499,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,mp,3,0.6316132272102646,0.21053774240342152,4.750328143437703,4.717990159988403,4.707992076873779,4.825002193450928,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,mp,4,0.804480464909094,0.2011201162272735,4.972241401672363,4.962991833686829,4.954989910125732,5.0079920291900635,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,mp,5,0.9820092438986701,0.19640184877973402,5.091624641418457,5.094015836715698,5.074020624160767,5.10504412651062,2effd2a659bb4843
