cpu,os,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3.5.1,2,0.17877069501803353,0.08938534750901676,11.187522411346436,11.187522411346436,11.1790132522583
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3.5.1,3,0.26143125190174027,0.08714375063391343,11.475337823232016,11.491000890731812,11.442999362945557
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3.5.1,4,0.3384964931725234,0.08462412329313085,11.81700313091278,11.819504499435425,11.783997774124146
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3.5.1,5,0.4074120549401181,0.08148241098802363,12.272619009017944,12.277021646499634,12.246023178100586
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3.5.1,6,0.47113736188412975,0.07852289364735496,12.735164403915405,12.73800528049469,12.703991889953613
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3.5.1,7,0.5308428848154224,0.07583469783077464,13.18671362740653,13.19000792503357,13.104995727539062
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3.5.1,8,0.5751787412500873,0.07189734265626091,13.909369885921478,13.877990961074829,13.774999618530273
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3.5.1,1,0.0901145179263544,0.0901145179263544,11.096991062164307,11.096991062164307,11.096991062164307
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3.5.1,2,0.09077719471617193,0.045388597358085966,11.015982627868652,11.015982627868652,11.015982627868652
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3.5.1,3,0.09091751515599364,0.030305838385331213,10.99898076057434,10.99898076057434,10.99898076057434
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3.5.1,4,0.0909916922188933,0.022747923054723326,10.99001431465149,10.99001431465149,10.99001431465149
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3.5.1,5,0.09067005720143913,0.018134011440287826,11.028999328613281,11.028999328613281,11.028999328613281
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3.5.1,6,0.0911409705205754,0.015190161753429235,10.9720139503479,10.9720139503479,10.9720139503479
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3.5.1,7,0.09098354631716014,0.01299764947388002,10.990998268127441,10.990998268127441,10.990998268127441
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3.5.1,8,0.09101663441712747,0.011377079302140934,10.987002611160278,10.987002611160278,10.987002611160278
