cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,bench_verion,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,mp,7,2.735702781,0.390814683,2.558856555,2.556998968,2.542993307,2.590002537
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,mp,8,2.979024993,0.372378124,2.686883628,2.682013631,2.614999056,2.763013601
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,mp,9,3.099042425,0.344338047,2.926666631,3.10900259,2.609995842,3.186004877
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,1,0.484034203,0.484034203,2.065969706,2.065969706,2.065969706,2.065969706
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,2,0.495047289,0.247523645,2.020009041,2.020009041,2.020009041,2.020009041
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,3,0.499255813,0.166418604,2.002981186,2.002981186,2.002981186,2.002981186
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,4,0.499500476,0.124875119,2.002000093,2.002000093,2.002000093,2.002000093
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,5,0.500751192,0.100150238,1.996999741,1.996999741,1.996999741,1.996999741
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,6,0.500751192,0.083458532,1.996999741,1.996999741,1.996999741,1.996999741
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,7,0.503524718,0.071932103,1.985999823,1.985999823,1.985999823,1.985999823
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,8,0.501252263,0.062656533,1.995003462,1.995003462,1.995003462,1.995003462
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,th,9,0.502259886,0.055806654,1.991001129,1.991001129,1.991001129,1.991001129
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,1,0.49213336,0.49213336,2.031969547,2.031969547,2.031969547,2.031969547
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,2,0.983842096,0.491921048,2.033005953,2.033005953,2.015003443,2.051008463
