cpu,os,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,1,0.10432984746659026,0.10432984746659026,9.58498477935791,9.58498477935791,9.58498477935791,9.58498477935791
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,2,0.20029037144739234,0.10014518572369617,9.985504508018494,9.985504508018494,9.980999946594238,9.990009069442749
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,3,0.27268782723458945,0.09089594241152982,11.001639684041342,10.993988990783691,10.977951288223267,11.032978773117065
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,4,0.3225227238585354,0.08063068096463386,12.402228355407715,12.403993010520935,12.394987344741821,12.405940055847168
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,5,0.3450429326461565,0.0690085865292313,14.490973854064942,14.488011121749878,14.46393895149231,14.512935638427734
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,6,0.3542071344036809,0.059034522400613486,16.939335823059082,16.95750594139099,16.85500168800354,16.969998121261597
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,7,0.362271117794304,0.051753016827757715,19.32284995487758,19.322990655899048,19.20599627494812,19.42200016975403
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,8,0.36642543085390256,0.04580317885673782,21.843262404203415,22.08602237701416,21.19499969482422,22.368996143341064
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,1,0.10594909552831487,0.10594909552831487,9.43849492073059,9.43849492073059,9.43849492073059,9.43849492073059
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,2,0.12820617923055763,0.06410308961527882,7.799936056137085,7.799936056137085,7.799936056137085,7.799936056137085
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,3,0.13477133846965353,0.04492377948988451,7.419975280761719,7.419975280761719,7.419975280761719,7.419975280761719
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,4,0.13836986447565036,0.03459246611891259,7.227007150650024,7.227007150650024,7.227007150650024,7.227007150650024
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,5,0.1397237933439663,0.027944758668793264,7.15697717666626,7.15697717666626,7.15697717666626,7.15697717666626
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,6,0.14164318022153427,0.023607196703589045,7.0599939823150635,7.0599939823150635,7.0599939823150635,7.0599939823150635
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,7,0.1426127980711062,0.020373256867300883,7.011993408203125,7.011993408203125,7.011993408203125,7.011993408203125
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,8,0.14378146855645949,0.017972683569557436,6.954999208450317,6.954999208450317,6.954999208450317,6.954999208450317
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,1,0.08641570800909446,0.08641570800909446,11.571970224380493,11.571970224380493,11.571970224380493,11.571970224380493
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,2,0.17331753611146045,0.08665876805573022,11.539522767066956,11.539522767066956,11.529029130935669,11.550016403198242
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3,0.24905266564714934,0.08301755521571645,12.04566764831543,12.034991264343262,12.033009052276611,12.069002628326416
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,4,0.3221528512706453,0.08053821281766133,12.41650664806366,12.418503642082214,12.382999420166016,12.446019887924194
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,5,0.38888157118861194,0.07777631423772238,12.857395792007447,12.855992317199707,12.844000101089478,12.877999544143677
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,6,0.44844339396268873,0.07474056566044812,13.37966271241506,13.384498238563538,13.337991952896118,13.418001651763916
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,7,0.5032638382863486,0.07189483404090694,13.909267016819545,13.89799427986145,13.876996755599976,13.957982301712036
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,8,0.5459750683721191,0.06824688354651488,14.653124898672104,14.651000261306763,14.526000261306763,14.762006044387817
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,1,0.08503383438365349,0.08503383438365349,11.760024785995483,11.760024785995483,11.760024785995483,11.760024785995483
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,2,0.08653511009732122,0.04326755504866061,11.556003093719482,11.556003093719482,11.556003093719482,11.556003093719482
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3,0.08726780155966261,0.029089267186554205,11.458980083465576,11.458980083465576,11.458980083465576,11.458980083465576
