cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,5,0.8830287412301792,0.17660574824603584,5.662337112426758,5.665654420852661,5.651981353759766,5.668601989746094
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,6,0.9904251926197076,0.16507086543661795,6.058215419451396,6.066510438919067,6.006479263305664,6.0943357944488525
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,7,1.1022090956620845,0.15745844223744063,6.351441281182425,6.372640371322632,6.231067419052124,6.419512987136841
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,8,1.165524914989966,0.14569061437374575,6.867981791496277,6.832103371620178,6.688048601150513,7.187065601348877
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,1,0.2031866405310916,0.2031866405310916,4.921583414077759,4.921583414077759,4.921583414077759,4.921583414077759
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,2,0.20646482427149387,0.10323241213574694,4.843440055847168,4.843440055847168,4.843440055847168,4.843440055847168
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,3,0.20985039611769882,0.06995013203923293,4.765299558639526,4.765299558639526,4.765299558639526,4.765299558639526
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,4,0.2121089556186341,0.053027238904658526,4.714558124542236,4.714558124542236,4.714558124542236,4.714558124542236
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,5,0.21158377033010478,0.04231675406602096,4.726260423660278,4.726260423660278,4.726260423660278,4.726260423660278
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,6,0.21410531165761804,0.035684218609603004,4.670598745346069,4.670598745346069,4.670598745346069,4.670598745346069
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,7,0.21290417453303434,0.030414882076147762,4.696948766708374,4.696948766708374,4.696948766708374,4.696948766708374
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,8,0.21197784087460347,0.026497230109325434,4.7174742221832275,4.7174742221832275,4.7174742221832275,4.7174742221832275
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,1,0.20202350845665273,0.20202350845665273,4.949918985366821,4.949918985366821,4.949918985366821,4.949918985366821
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,2,0.3910513125193117,0.19552565625965584,5.114438891410828,5.114438891410828,5.104183673858643,5.124694108963013
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,3,0.555962856621852,0.18532095220728398,5.396137078603108,5.385388374328613,5.375642776489258,5.427380084991455
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,4,0.6808075525852109,0.17020188814630272,5.875616431236267,5.861451506614685,5.843394041061401,5.936168670654297
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,5,0.8305587811201366,0.16611175622402732,6.020115375518799,6.016217470169067,5.996689558029175,6.051364898681641
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,6,0.8913457134511332,0.1485576189085222,6.731494426727295,6.730515360832214,6.696812868118286,6.769096851348877
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,7,0.9859048994104956,0.14084355705864224,7.100132397242954,7.098179340362549,7.0786426067352295,7.129445791244507
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,8,1.0852443648817043,0.13565554561021304,7.374033451080322,7.410167455673218,7.092315673828125,7.51611065864563
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,1,0.20135225555308378,0.20135225555308378,4.966420650482178,4.966420650482178,4.966420650482178,4.966420650482178
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,2,0.20008998148991736,0.10004499074495868,4.997751474380493,4.997751474380493,4.997751474380493,4.997751474380493
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,3,0.20178563980198344,0.06726187993399448,4.955754041671753,4.955754041671753,4.955754041671753,4.955754041671753
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,4,0.19788622442285364,0.04947155610571341,5.053408861160278,5.053408861160278,5.053408861160278,5.053408861160278
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,5,0.1997780595192585,0.039955611903851704,5.005554676055908,5.005554676055908,5.005554676055908,5.005554676055908
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,6,0.20142864703259095,0.03357144117209849,4.964537143707275,4.964537143707275,4.964537143707275,4.964537143707275
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,7,0.202545054436678,0.028935007776668287,4.937173128128052,4.937173128128052,4.937173128128052,4.937173128128052
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,8,0.20210446135186522,0.025263057668983152,4.947936296463013,4.947936296463013,4.947936296463013,4.947936296463013
