cpu,os,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,1,0.045446279645927415,0.045446279645927415,22.00400137901306,22.00400137901306,22.00400137901306,22.00400137901306
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,2,0.08936813991236103,0.04468406995618052,22.380505681037903,22.380505681037903,22.218995332717896,22.54201602935791
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,3,0.12168813412827409,0.04056271137609136,24.65398669242859,24.586970329284668,24.524993181228638,24.84999656677246
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,4,0.14770957187099612,0.03692739296774903,27.08425611257553,26.998002409934998,26.75702166557312,27.58399796485901
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,5,0.16233170857146662,0.03246634171429332,30.815214538574217,30.911014080047607,29.657007217407227,31.688020706176758
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,6,0.1704854890740221,0.028414248179003686,35.194994966189064,35.10049390792847,35.02800440788269,35.65999126434326
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,7,0.17295506450493478,0.024707866357847826,40.47328077043806,40.47601008415222,40.253016233444214,40.62398362159729
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,8,0.17338214425664347,0.021672768032080434,46.15086451172829,46.139485120773315,45.12499785423279,47.210001945495605
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,1,0.049695337763520225,0.049695337763520225,20.12261199951172,20.12261199951172,20.12261199951172,20.12261199951172
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,2,0.06198083453287504,0.03099041726643752,16.13401961326599,16.13401961326599,16.13401961326599,16.13401961326599
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,3,0.06708253866518654,0.022360846221728847,14.90700888633728,14.90700888633728,14.90700888633728,14.90700888633728
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,4,0.06977395907177217,0.017443489767943042,14.331994533538818,14.331994533538818,14.331994533538818,14.331994533538818
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,5,0.07202539712370234,0.01440507942474047,13.883991479873657,13.883991479873657,13.883991479873657,13.883991479873657
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,6,0.07224394761374041,0.012040657935623401,13.841989994049072,13.841989994049072,13.841989994049072,13.841989994049072
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,7,0.07324413366005231,0.010463447665721758,13.652970552444458,13.652970552444458,13.652970552444458,13.652970552444458
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,8,0.07243752854158178,0.009054691067697723,13.804998874664307,13.804998874664307,13.804998874664307,13.804998874664307
