cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,1,0.20266367,0.20266367,4.934283495,4.934283495,4.934283495,4.934283495,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,2,0.206216094,0.103108047,4.849282026,4.849282026,4.849282026,4.849282026,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,3,0.210365777,0.070121926,4.753624916,4.753624916,4.753624916,4.753624916,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,4,0.212373694,0.053093423,4.708681107,4.708681107,4.708681107,4.708681107,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,5,0.212329593,0.042465919,4.7096591,4.7096591,4.7096591,4.7096591,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,6,0.209892507,0.034982084,4.7643435,4.7643435,4.7643435,4.7643435,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,7,0.211540082,0.030220012,4.727236509,4.727236509,4.727236509,4.727236509,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,8,0.211846556,0.02648082,4.720397711,4.720397711,4.720397711,4.720397711,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,1,0.210238094,0.210238094,4.756511927,4.756511927,4.756511927,4.756511927,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,2,0.404767758,0.202383879,4.941114545,4.941114545,4.934252739,4.947976351,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,3,0.561656216,0.187218739,5.341435273,5.351198673,5.31116271,5.361944437,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,4,0.710552982,0.177638246,5.629519761,5.641241193,5.588510513,5.647086143,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,5,0.807940043,0.161588009,6.188853121,6.191986322,6.128505707,6.256435394,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,6,0.922764581,0.153794097,6.502345562,6.500552535,6.449780226,6.541569948,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,7,1.032477852,0.147496836,6.780113118,6.77590394,6.719287872,6.864823341,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,mp,8,1.087978313,0.135997289,7.354642123,7.384788632,7.163626671,7.475117922,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,1,0.202224199,0.202224199,4.945006609,4.945006609,4.945006609,4.945006609,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,2,0.205471092,0.102735546,4.866864681,4.866864681,4.866864681,4.866864681,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,3,0.207217248,0.069072416,4.825853109,4.825853109,4.825853109,4.825853109,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,4,0.205965596,0.051491399,4.855179787,4.855179787,4.855179787,4.855179787,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,5,0.208312797,0.041662559,4.800473213,4.800473213,4.800473213,4.800473213,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,6,0.20510025,0.034183375,4.875664473,4.875664473,4.875664473,4.875664473,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,7,0.208100847,0.029728692,4.805362463,4.805362463,4.805362463,4.805362463,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,empty_play,th,8,0.210409435,0.026301179,4.752638578,4.752638578,4.752638578,4.752638578,e6a54382baa14b72
