cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,th,7,0.12206275054844953,0.01743753579263565,8.19250750541687,8.19250750541687,8.19250750541687,8.19250750541687,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,th,8,0.11907239391948116,0.014884049239935145,8.398252248764038,8.398252248764038,8.398252248764038,8.398252248764038,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,mp,1,0.1771005713085103,0.1771005713085103,5.646509170532227,5.646509170532227,5.646509170532227,5.646509170532227,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,mp,2,0.32388811056302846,0.16194405528151423,6.176176309585571,6.176176309585571,6.089930772781372,6.2624218463897705,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,mp,3,0.36592814080222913,0.12197604693407638,8.211335976918539,8.178308486938477,7.82759690284729,8.628102540969849,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,mp,4,0.48652603092026264,0.12163150773006566,8.22448319196701,8.1922025680542,8.044115543365479,8.469412088394165,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,mp,5,0.6287182076231675,0.12574364152463352,7.95432333946228,7.9201531410217285,7.849135160446167,8.176772117614746,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,mp,6,0.6419815829135367,0.10699693048558945,9.354220549265543,9.353078246116638,8.867213249206543,9.6873140335083,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,mp,7,0.6923050787259188,0.09890072553227412,10.116387707846505,10.139590501785278,9.861971139907837,10.498116970062256,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,mp,8,0.7166097945381916,0.08957622431727395,11.192999422550201,10.942651271820068,10.619357585906982,12.132028818130493,2c44984fa44c4cc1
