cpu,os,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,6,0.3997836959907288,0.06663061599845481,15.00831925868988,15.008491277694702,14.940347909927368,15.079636812210083
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,7,0.4313999883589055,0.061628569765557924,16.226692983082362,16.211878061294556,16.09490180015564,16.389755249023438
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,8,0.426776670638664,0.053347083829833,18.76259210705757,18.715155720710754,18.122047424316406,19.42886519432068
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,1,0.08516942135796393,0.08516942135796393,11.741303205490112,11.741303205490112,11.741303205490112,11.741303205490112
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,2,0.08145151063735169,0.040725755318675845,12.27724313735962,12.27724313735962,12.27724313735962,12.27724313735962
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,3,0.08061850090479732,0.02687283363493244,12.4041006565094,12.4041006565094,12.4041006565094,12.4041006565094
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,4,0.08448831269287481,0.021122078173218702,11.835956573486328,11.835956573486328,11.835956573486328,11.835956573486328
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,5,0.0854214172182269,0.01708428344364538,11.706665992736816,11.706665992736816,11.706665992736816,11.706665992736816
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,6,0.08651026151018726,0.014418376918364543,11.559322357177734,11.559322357177734,11.559322357177734,11.559322357177734
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,7,0.08479074467542509,0.012112963525060727,11.793740034103394,11.793740034103394,11.793740034103394,11.793740034103394
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,th,8,0.08628293716276185,0.010785367145345231,11.589776992797852,11.589776992797852,11.589776992797852,11.589776992797852
