cpu,os,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,1,0.10659867075958272,0.10659867075958272,9.380980014801025,9.380980014801025,9.380980014801025,9.380980014801025
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,2,0.2017452601737245,0.10087263008686224,9.913494944572449,9.913494944572449,9.907989501953125,9.919000387191772
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,3,0.27664396504485644,0.09221465501495214,10.844300905863443,10.855992317199707,10.815910339355469,10.861000061035156
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,4,0.3332086589527056,0.0833021647381764,12.00449138879776,12.003995418548584,11.999993324279785,12.009981393814087
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,5,0.3555134149357731,0.07110268298715462,14.064174365997314,14.06700086593628,14.045912742614746,14.074015855789185
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,6,0.364447558587607,0.06074125976460117,16.46329740683238,16.46695041656494,16.433988332748413,16.48991847038269
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,7,0.36431137168964345,0.052044481669949065,19.214701209749496,19.225533485412598,19.080585718154907,19.340562343597412
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,8,0.3674338718141274,0.045929233976765925,21.780494660139084,21.886494278907776,21.23900818824768,22.234991788864136
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,1,0.10354107522847,0.10354107522847,9.658002853393555,9.658002853393555,9.658002853393555,9.658002853393555
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,2,0.12944954413853962,0.06472477206926981,7.725017547607422,7.725017547607422,7.725017547607422,7.725017547607422
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,3,0.13865778087000494,0.046219260290001646,7.212000608444214,7.212000608444214,7.212000608444214,7.212000608444214
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,4,0.14206555663950501,0.035516389159876254,7.039003849029541,7.039003849029541,7.039003849029541,7.039003849029541
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,5,0.143781463627606,0.028756292725521198,6.9549994468688965,6.9549994468688965,6.9549994468688965,6.9549994468688965
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,6,0.14556050597384704,0.024260084328974505,6.869995355606079,6.869995355606079,6.869995355606079,6.869995355606079
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,7,0.14553937828307348,0.02079133975472478,6.870992660522461,6.870992660522461,6.870992660522461,6.870992660522461
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,8,0.14784157776488477,0.018480197220610596,6.7639970779418945,6.7639970779418945,6.7639970779418945,6.7639970779418945
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,1,0.08921407859479931,0.08921407859479931,11.208993196487427,11.208993196487427,11.208993196487427,11.208993196487427
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,2,0.1752544630469313,0.08762723152346565,11.411986351013184,11.411986351013184,11.401971578598022,11.422001123428345
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,3,0.24966078029004823,0.08322026009668275,12.016309897104898,12.013979196548462,12.007979154586792,12.026971340179443
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,4,0.31864376685651447,0.07966094171412862,12.553229331970215,12.543992161750793,12.54049825668335,12.584434747695923
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,5,0.3768393527710734,0.07536787055421468,13.26828236579895,13.263084411621094,13.242087364196777,13.29909062385559
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,6,0.42585935453891804,0.07097655908981967,14.089166124661764,14.090501546859741,14.07099199295044,14.101000308990479
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,7,0.4547283655448551,0.06496119507783644,15.393845660345894,15.3989839553833,15.356985807418823,15.438987493515015
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,8,0.4761763120831025,0.059522039010387814,16.80356752872467,16.78950071334839,16.548002243041992,17.057006359100342
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,1,0.08827676130523622,0.08827676130523622,11.328009605407715,11.328009605407715,11.328009605407715,11.328009605407715
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,2,0.08945360244219214,0.04472680122109607,11.178979635238647,11.178979635238647,11.178979635238647,11.178979635238647
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,3,0.08980699789472026,0.029935665964906752,11.134989738464355,11.134989738464355,11.134989738464355,11.134989738464355
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,4,0.08978273147693769,0.022445682869234422,11.137999296188354,11.137999296188354,11.137999296188354,11.137999296188354
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,5,0.08994399901493369,0.01798879980298674,11.118029117584229,11.118029117584229,11.118029117584229,11.118029117584229
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,6,0.08990381139453148,0.014983968565755247,11.1229989528656,11.1229989528656,11.1229989528656,11.1229989528656
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,7,0.08971826805126816,0.012816895435895452,11.146002054214478,11.146002054214478,11.146002054214478,11.146002054214478
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,8,0.08979080024414306,0.011223850030517882,11.136998414993286,11.136998414993286,11.136998414993286,11.136998414993286
